map,population_set,demand,scenario,runs,avg_mean_wait_s,std_mean_wait_s,avg_p95_wait_s,avg_mean_travel_s,std_mean_travel_s,avg_p95_travel_s,avg_mean_time_loss_s,avg_mean_speed_mps,avg_vehicles_count,avg_planned_trips,avg_completed_trips,avg_unfinished_trips,avg_censoring_rate,avg_switch_margin_count,avg_switch_max_green_count,avg_nmin_hold_step_count,avg_spillback_block_event_count,avg_spillback_release_event_count,avg_spillback_block_step_count,avg_platoon_extend_step_count,avg_fairness_positive_bonus_count,avg_fairness_bonus_sum
bologna,peak,low,mp_nmin_a120_f4,1,830.31,0.0,2761.75,1226.935333,0.0,3463.15,1020.13268,6.75111,1500.0,1500.0,1500.0,0.0,0.0,3637.0,942.0,6070.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,low,mp_platoon_x2,1,699.896412,0.0,2062.6,1085.747461,0.0,2783.0,879.715538,6.976883,1477.0,1500.0,1477.0,23.0,1.5333,3274.0,948.0,0.0,0.0,0.0,0.0,317.0,0.0,0.0
bologna,peak,low,mp_platoon_x4,1,807.723746,0.0,2371.0,1193.208696,0.0,3057.3,986.465003,6.965091,1495.0,1500.0,1495.0,5.0,0.3333,3298.0,988.0,0.0,0.0,0.0,0.0,576.0,0.0,0.0
bologna,peak,low,mp_program0,1,461.791333,0.0,1580.2,862.796,0.0,2280.2,658.198907,6.750542,1500.0,1500.0,1500.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,low,mp_spillback_on85_off70,1,774.909578,0.0,2332.6,1164.03282,0.0,3089.0,958.207897,6.90829,1493.0,1500.0,1493.0,7.0,0.4667,3352.0,952.0,0.0,56.0,56.0,4857.0,0.0,0.0,0.0
bologna,peak,low,mp_spillback_on90_off80,1,727.879333,0.0,2250.1,1117.237333,0.0,2912.9,911.21518,6.963211,1500.0,1500.0,1500.0,0.0,0.0,3297.0,923.0,0.0,32.0,32.0,2622.0,0.0,0.0,0.0
bologna,peak,low,mp_super,1,445.511333,0.0,1411.05,852.179333,0.0,2199.0,647.784593,6.765065,1500.0,1500.0,1500.0,0.0,0.0,265.0,0.0,0.0,1.0,0.0,4.0,0.0,642.0,1114.115986
bologna,peak,low,mp_switch_eps1,1,783.818,0.0,2579.25,1158.472667,0.0,3220.4,951.773153,6.914612,1500.0,1500.0,1500.0,0.0,0.0,2522.0,1349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,low,mp_switch_rel005,1,735.158677,0.0,2237.0,1123.704929,0.0,2958.0,917.551634,7.01204,1481.0,1500.0,1481.0,19.0,1.2667,3368.0,985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,low,mp_switch_rel010,1,764.562667,0.0,2328.05,1150.857333,0.0,3008.45,944.45138,6.936947,1500.0,1500.0,1500.0,0.0,0.0,3342.0,968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,medium,fixed_program0,1,998.771121,0.0,3178.65,1498.384409,0.0,3943.55,1297.481601,4.957799,2604.0,3000.0,2604.0,396.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,peak,medium,fixed_tuned,1,1180.152072,0.0,3203.6,1678.676701,0.0,4168.3,1477.327498,4.118228,2558.0,3000.0,2558.0,442.0,14.7333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
