Run dir: /home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0024_20260527_122000
Gruppi: 9
Ordinamento: wait (asc)

=== bologna / balanced / high ===
Rank | Scenario                | MeanWait[s] | DeltaWait[%] | MeanTravel[s] | DeltaTravel[%] | MeanTimeLoss[s] | DeltaTimeLoss[s] | Censoring[%] | P95Wait[s] | P95Travel[s] | MeanSpeed[m/s] | Completed | Runs
5    | mp_lta_g060_sf050       | 1025.85     | +2.71        | 1411.90       | -5.77          | 1211.42         | -86.06           | 30.10%       | 3821.40    | 4509.00      | 6.02           | 2097      | 1
6    | mp_switch_rel010        | 1074.89     | +7.62        | 1467.94       | -2.03          | 1270.21         | -27.27           | 28.80%       | 3910.25    | 4584.25      | 5.85           | 2136      | 1
7    | fixed_tuned             | 1180.15     | +18.16       | 1678.68       | +12.03         | 1477.33         | +179.85          | 14.73%       | 3203.60    | 4168.30      | 4.12           | 2558      | 1
8    | mp_platoon_x4           | 1189.89     | +19.14       | 1647.06       | +9.92          | 1441.66         | +144.18          | 15.40%       | 3560.30    | 4391.05      | 5.30           | 2538      | 1
9    | mp_platoon_x2           | 1198.61     | +20.01       | 1635.07       | +9.12          | 1427.74         | +130.26          | 23.70%       | 3764.60    | 4589.00      | 5.77           | 2289      | 1
10   | mp_spillback_on85_off70 | 1225.68     | +22.72       | 1638.96       | +9.38          | 1441.02         | +143.54          | 25.73%       | 4013.30    | 4753.90      | 5.57           | 2228      | 1
11   | mp_fair_mu3_w30         | 1232.26     | +23.38       | 1687.30       | +12.61         | 1485.80         | +188.32          | 18.60%       | 3841.70    | 4597.60      | 5.46           | 2442      | 1
12   | mp_switch_rel005        | 1251.21     | +25.27       | 1668.80       | +11.37         | 1468.13         | +170.65          | 22.93%       | 4105.45    | 4837.90      | 5.88           | 2312      | 1
13   | mp_base                 | 1255.09     | +25.66       | 1681.07       | +12.19         | 1479.27         | +181.79          | 21.23%       | 4001.00    | 4787.60      | 5.81           | 2363      | 1
14   | mp_fair_mu5_w20         | 1257.18     | +25.87       | 1682.38       | +12.28         | 1483.34         | +185.86          | 24.50%       | 4118.60    | 4843.20      | 5.61           | 2265      | 1
15   | mp_nmin_a080_f2         | 1258.73     | +26.03       | 1696.21       | +13.20         | 1493.70         | +196.21          | 27.00%       | 3992.55    | 4788.55      | 5.39           | 2190      | 1
16   | mp_downstream_b04       | 1261.47     | +26.30       | 1680.03       | +12.12         | 1478.28         | +180.80          | 43.40%       | 3832.15    | 4463.60      | 4.58           | 1698      | 1
17   | mp_switch_eps1          | 1270.02     | +27.16       | 1706.02       | +13.86         | 1501.61         | +204.13          | 20.07%       | 3819.75    | 4656.50      | 5.65           | 2398      | 1
18   | mp_downstream_b08       | 1278.09     | +27.97       | 1713.73       | +14.37         | 1509.58         | +212.10          | 41.20%       | 3759.85    | 4442.40      | 4.43           | 1764      | 1
19   | mp_lta_g040_sf050       | 1334.27     | +33.59       | 1763.13       | +17.67         | 1557.85         | +260.37          | 21.20%       | 3926.05    | 4754.85      | 5.59           | 2364      | 1
20   | mp_nmin_a120_f4         | 1348.05     | +34.97       | 1805.12       | +20.47         | 1595.93         | +298.45          | 18.77%       | 3933.00    | 4770.00      | 5.45           | 2437      | 1

=== bologna / skewed / high ===
